loan_app_id,member_id,loan_amount,funded_amount,investors_amount,term,int_rate,monthly_installment,risk_grade,risk_sub_grade,emp_length,home_ownership,annual_income,verification_status,issue_date,loan_status,purpose_of_loan,addr_state,dti,delinq_in2yrs,earliest_cr_line,Inquiry_last_6mths,mths_since_last_delinq,open_acc,no.of_negative_financial_records,credit_bal_left,%credit_bal_left,total_credit_acc,total_pymnt_paid,total_pymnt_paid_to_inv,principal_receive,principal_received_inv,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_date,last_pymnt_amnt,credit-info_last_checked,pub_rec_bankruptcies
995933,1220527,10000,10000,10000, 36 months,14.65%,344.95,C,C3,1 year,MORTGAGE,42000,Source Verified,Oct-11,0,debt_consolidation,FL,14.94,0,Nov-04,1,46,9,0,2296,38.40%,11,12332.22219,12332.22,10000,2332.22,0,0,0,May-14,2333.6,May-14,0
467851,588862,11000,11000,10950, 36 months,12.53%,368.13,B,B5,< 1 year,RENT,50000,Not Verified,Dec-09,0,credit_card,NV,16.78,0,Jan-82,2,,7,0,4877,46%,11,13196.37777,13136.39,11000,2196.38,0,0,0,Jul-12,2173.06,Aug-12,0
589608,757411,8000,8000,8000, 60 months,16.45%,196.47,E,E1,3 years,RENT,40000,Verified,Oct-10,1,credit_card,NY,15.72,0,Jul-98,1,63,11,1,6455,64.50%,25,5025.64,5025.64,2442.87,2264.01,0,318.76,3.2,Oct-12,196.47,Mar-13,1
774336,976505,20000,20000,19725, 60 months,18.39%,512.13,E,E2,5 years,MORTGAGE,60000,Verified,Jun-11,0,debt_consolidation,PA,23.56,0,Oct-01,0,,12,0,20619,92%,30,24244.64368,23911.29,20000,4244.64,0,0,0,Sep-12,17076.82,Sep-12,0
831934,1041253,16000,16000,16000, 60 months,11.71%,353.58,B,B3,3 years,RENT,30216,Verified,Sep-11,0,debt_consolidation,CA,11.36,0,May-88,0,,7,0,7606,59%,14,21126.94,21126.94,16000,5126.94,0,0,0,Mar-16,2740.78,Mar-16,0
383960,414639,18000,18000,17365.49267, 36 months,14.42%,618.89,D,D2,3 years,MORTGAGE,70000,Not Verified,Mar-09,0,wedding,TX,7.89,0,Mar-00,1,,5,0,18505,95.90%,10,22279.86975,21456.63,17999.97,4279.9,0,0,0,Mar-12,639.98,Mar-12,0
443474,539659,4000,4000,3834.12, 36 months,12.87%,134.54,C,C1,2 years,OWN,18000,Not Verified,Dec-09,1,other,GA,13.8,0,Feb-01,0,,4,0,9794,75.90%,4,584.15,576.85,291.64,292.51,0,0,0,Jul-10,200,May-16,0
404683,451535,9000,9000,5242.745958, 36 months,13.79%,306.68,C,C5,10+ years,RENT,46500,Verified,May-09,0,debt_consolidation,NY,6.76,0,Sep-80,0,31,7,0,7589,51.60%,32,11040.45289,5995.62,9000,2040.45,0,0,0,Jun-12,309.76,Apr-16,0
822534,1030978,8500,8500,8500, 36 months,7.49%,264.37,A,A4,10+ years,RENT,54000,Source Verified,Jul-11,0,debt_consolidation,OH,10.91,0,Mar-95,1,,4,0,4212,31.90%,7,9517.071339,9517.07,8500,1017.07,0,0,0,Aug-14,285.15,Aug-14,0
835716,1045690,20000,20000,20000, 60 months,19.29%,522.01,E,E4,2 years,RENT,55000,Source Verified,Aug-11,0,major_purchase,SC,11.48,0,Aug-04,2,74,2,0,0,0%,17,22805.01665,22805.02,20000,2805.02,0,0,0,Jan-13,3980.64,Apr-16,0
491007,627232,13000,13000,12000, 36 months,7.88%,406.65,A,A5,3 years,MORTGAGE,64000,Not Verified,Mar-10,0,home_improvement,MA,11.93,0,Dec-91,0,,5,0,7368,28.30%,19,14639.7741,13513.64,13000,1639.77,0,0,0,Mar-13,420.01,Mar-13,0
589439,757217,3250,3250,3250, 36 months,14.35%,111.64,C,C4,4 years,RENT,10200,Verified,Oct-10,1,debt_consolidation,NJ,14.82,0,Feb-07,0,,6,0,3709,67.40%,9,222.04,222.04,145.61,76.43,0,0,0,Dec-10,111.64,May-16,0
969188,1190396,7125,7125,7100, 36 months,7.51%,221.67,A,A3,10+ years,MORTGAGE,33600,Not Verified,Oct-11,0,debt_consolidation,AL,17.14,0,Jun-94,4,,9,0,6299,32.30%,16,7875.20889,7847.58,7125,750.21,0,0,0,Oct-13,2787.86,Oct-13,0
1002778,1228850,12000,12000,11925, 60 months,14.27%,280.91,C,C2,,MORTGAGE,80000,Not Verified,Nov-11,0,debt_consolidation,CA,5.2,0,Sep-68,2,,14,0,4614,5.20%,51,14076.09609,13988.12,12000,2076.1,0,0,0,Mar-13,9872.83,May-16,0
1001539,1227338,10000,10000,9750, 36 months,7.90%,312.91,A,A4,9 years,RENT,66000,Not Verified,Oct-11,0,credit_card,CA,12.75,0,Sep-93,0,,4,0,2525,14.90%,8,11264.45805,10982.85,10000,1264.46,0,0,0,Nov-14,317.49,Nov-14,0
1057448,1289007,20125,20125,20100, 60 months,19.42%,526.72,E,E3,10+ years,MORTGAGE,103000,Verified,Dec-11,0,credit_card,TX,19.7,0,Jun-99,2,,13,0,24164,95.90%,31,28442.5845,28407.25,20125,8317.58,0,0,0,Jul-14,12657.23,Dec-15,0
781407,984254,35000,35000,34975, 36 months,11.63%,1156.33,B,B3,10+ years,MORTGAGE,487000,Verified,Jun-11,1,home_improvement,PA,12.16,0,Apr-93,1,,17,0,26803,57.10%,50,23851.08,23834.15,17917.52,5206.95,0,726.61,32.60159999,Mar-13,26.8,May-16,0
782647,985659,4000,4000,4000, 36 months,15.23%,139.12,C,C5,6 years,RENT,35000,Source Verified,Jun-11,0,other,MA,10.73,0,Jun-95,1,49,6,0,1651,91.70%,12,5006.230664,5006.23,4000,1006.23,0,0,0,Jun-14,296.02,Jun-14,0
707960,900369,20050,20050,20050, 60 months,11.11%,437.04,B,B5,1 year,MORTGAGE,64200,Verified,Mar-11,0,debt_consolidation,CA,8.41,0,Jun-98,0,,7,0,14095,92.70%,22,26034.52001,26034.52,20050,5984.52,0,0,0,Jun-15,4641.51,Jun-15,0
733387,929748,10600,10600,10600, 60 months,15.65%,255.81,D,D4,5 years,OWN,36000,Source Verified,Apr-11,0,debt_consolidation,NV,22.5,0,Feb-99,1,79,7,0,8066,57.60%,9,12153.17198,12153.17,10600,1553.17,0,0,0,May-12,9348.22,May-12,0
862592,1075638,16800,16800,16775, 36 months,11.99%,557.93,B,B5,10+ years,MORTGAGE,60000,Verified,Sep-11,0,debt_consolidation,FL,23.02,0,Nov-01,0,,7,1,10655,72%,18,17132.70211,17107.2,16800,332.7,0,0,0,Nov-11,16575.68,May-16,1
608545,780647,1000,1000,1000, 36 months,13.72%,34.05,C,C5,< 1 year,MORTGAGE,30000,Not Verified,Nov-10,0,home_improvement,GA,2.72,1,Jul-00,0,3,4,1,2031,34.40%,7,1069.914723,1069.91,1000,69.91,0,0,0,Feb-12,93.94,May-16,1
769615,971102,16000,16000,16000, 36 months,6.03%,486.97,A,A1,10+ years,MORTGAGE,90000,Verified,Sep-11,0,debt_consolidation,NY,1.36,0,Nov-86,0,,8,0,2569,6.30%,20,16434.48305,16434.48,16000,434.48,0,0,0,Jul-12,555.77,Apr-14,0
556731,716866,4000,4000,3500, 36 months,11.12%,131.19,B,B3,3 years,RENT,73000,Source Verified,Aug-10,0,vacation,FL,11.21,0,Apr-97,2,,6,0,1749,72.90%,23,4697.805982,4110.58,4000,697.81,0,0,0,Feb-13,910.28,May-16,0
757694,957761,3600,3600,3600, 60 months,20.25%,95.88,F,F1,10+ years,MORTGAGE,55000,Not Verified,May-11,0,debt_consolidation,WV,16.12,0,Sep-95,2,,5,1,10430,98.40%,20,3862.760116,3862.76,3600,262.76,0,0,0,Mar-12,99.19,Jun-15,1
605444,776723,8500,6125,6125, 60 months,6.54%,119.96,A,A4,< 1 year,MORTGAGE,48000,Source Verified,Nov-10,0,small_business,SC,0.28,0,Aug-98,0,,5,0,668,1.40%,20,7197.419514,7197.42,6125,1072.42,0,0,0,Nov-15,119.77,Nov-15,0
1055716,1287282,8500,8500,8500, 36 months,15.96%,298.67,C,C5,,RENT,27050,Source Verified,Dec-11,1,credit_card,GA,10.25,0,Oct-05,3,,7,0,5956,62.70%,10,3937.28,3937.28,2218.92,1357.61,0,360.75,3.55,Feb-13,298,May-13,0
829092,1038174,6400,6400,6375, 36 months,15.99%,224.98,D,D2,,RENT,30000,Verified,Aug-11,0,major_purchase,FL,15.08,0,Jul-06,0,,3,0,3154,90.10%,4,8098.978346,8067.34,6400,1698.98,0,0,0,Aug-14,248.99,May-16,0
696937,888158,25000,25000,12975.00019, 60 months,19.74%,658.74,F,F5,10+ years,MORTGAGE,78000,Verified,Mar-11,1,small_business,WA,1.83,0,Feb-91,1,,4,0,5409,93.30%,11,6588.42,3413.05,2092.68,3164.52,0,1331.22,242.6178,Nov-11,658.74,Apr-12,0
1071570,1306721,5375,5375,5350, 60 months,12.69%,121.45,B,B5,< 1 year,RENT,15000,Verified,Dec-11,1,other,TX,18.08,0,Sep-04,0,,2,0,9279,36.50%,3,1476.19,1469.34,673.48,533.42,0,269.29,2.52,Nov-12,121.45,Mar-13,0
776214,978538,4000,4000,4000, 36 months,7.49%,124.41,A,A4,3 years,RENT,35600,Not Verified,Jun-11,0,debt_consolidation,MD,0.64,0,Nov-00,0,,2,0,829,16.60%,7,4478.61932,4478.62,4000,478.62,0,0,0,Jun-14,132.17,Jun-14,0
394342,432954,9500,9500,9225, 36 months,9.63%,304.9,A,A5,5 years,RENT,55000,Verified,Apr-09,0,medical,TX,9.16,0,Dec-89,0,,9,0,28962,66.90%,24,10695.47112,10385.87,9500,1195.47,0,0,0,Feb-11,4605.77,May-16,0
784471,987687,2500,2500,2500, 36 months,12.99%,84.23,C,C1,5 years,MORTGAGE,75000,Verified,Jun-11,0,debt_consolidation,MD,21.62,1,Nov-97,2,18,8,0,5943,87.40%,20,3031.9668,3031.97,2500,531.97,0,0,0,Jul-14,88.64,Jul-14,0
466817,586665,10000,10000,9927.428432, 36 months,13.22%,338.01,C,C2,3 years,RENT,36000,Not Verified,Dec-09,0,debt_consolidation,FL,8.3,0,Sep-03,0,,13,0,8989,36.20%,21,11974.54976,11885.13,10000,1974.55,0,0,0,Aug-12,1019.21,Apr-14,0
664779,850001,15000,15000,14750, 36 months,10.37%,486.62,B,B3,1 year,MORTGAGE,50000,Verified,Feb-11,0,credit_card,WA,26.93,0,Sep-00,0,,5,0,16355,54%,12,16437.37279,16163.42,15000,1437.37,0,0,0,Mar-12,10601.82,May-16,0
854996,1067287,3600,3600,3600, 36 months,9.99%,116.15,B,B1,2 years,RENT,67000,Not Verified,Aug-11,0,credit_card,CO,20.27,0,Sep-96,0,,14,0,24991,79.80%,23,4181.189986,4181.19,3600,581.19,0,0,0,Sep-14,128.78,Feb-16,0
798278,1003393,2275,2275,2275, 36 months,7.49%,70.76,A,A4,5 years,MORTGAGE,65000,Source Verified,Jul-11,0,debt_consolidation,CA,19.31,0,Oct-99,4,,12,0,9963,29.20%,30,2449.907104,2449.91,2275,174.91,0,0,0,Oct-12,1465.7,May-13,0
496495,636219,25000,25000,24625.8449, 36 months,15.33%,870.71,D,D3,1 year,MORTGAGE,142500,Verified,Apr-10,0,debt_consolidation,MD,13.39,0,Jun-86,1,27,16,0,39352,69.60%,47,31348.85529,30826.46,25000.01,6348.84,0,0,0,Apr-13,886.53,Apr-13,0
536096,692633,25000,25000,24506.96305, 36 months,11.12%,819.89,B,B3,6 years,MORTGAGE,83004,Verified,Jul-10,0,debt_consolidation,TX,15.98,0,Jan-90,1,,14,0,52466,67.30%,27,29518.76082,28895.65,25000,4518.76,0,0,0,Jul-13,931.75,Jul-13,0
599020,768813,15000,15000,14950, 36 months,14.09%,513.33,D,D1,4 years,RENT,81996,Verified,Oct-10,0,debt_consolidation,CA,8.03,0,Nov-99,0,37,12,0,15375,83.60%,26,17525.02229,17466.6,15000,2525.02,0,0,0,May-12,8820.75,Oct-14,0
788920,992723,4200,4200,4200, 36 months,11.99%,139.49,B,B5,4 years,MORTGAGE,48000,Source Verified,Jun-11,0,credit_card,NC,20.4,0,Jan-99,1,46,15,0,10256,59.40%,50,5021.21111,5021.21,4200,821.21,0,0,0,Jul-14,140.32,Apr-16,0
481921,612966,20000,20000,19876.25789, 36 months,13.85%,682.08,C,C4,10+ years,MORTGAGE,181000,Not Verified,Feb-10,0,debt_consolidation,CA,9.18,0,Dec-93,2,46,10,0,12970,74.50%,37,24555.94412,24400.86,19999.99,4555.95,0,0,0,Feb-13,707.36,May-16,0
495272,634342,6500,6500,6500, 36 months,10.99%,212.78,B,B4,10+ years,MORTGAGE,71046.94,Not Verified,Mar-10,0,other,GA,13.51,0,Oct-86,2,,16,0,25060,89.30%,30,7620.048991,7620.05,6500,1120.05,0,0,0,Oct-12,1466.4,Jan-16,0
754260,953962,16000,10800,10775, 60 months,18.79%,278.92,E,E3,,RENT,34596,Verified,May-11,0,medical,PA,19.91,0,Mar-99,1,,4,0,5881,84%,7,16495.44999,16457.27,10800,5695.45,0,0,0,Jul-15,3120.26,Jul-15,0
573573,737767,10000,10000,10000, 36 months,7.88%,312.82,A,A5,10+ years,MORTGAGE,74000,Verified,Sep-10,0,major_purchase,NY,10.44,0,Jul-95,0,,7,0,3421,25.30%,15,11261.95983,11261.96,10000,1261.96,0,0,0,Sep-13,329.07,Jul-14,0
1011655,1238747,13000,13000,12975, 60 months,16.77%,321.48,D,D2,10+ years,MORTGAGE,85200,Not Verified,Nov-11,1,medical,OH,9.37,0,Aug-95,3,,23,1,17732,52%,37,2962.59,2956.93,1020.24,1254.73,0,687.62,6.55,Jul-12,31.23,Jul-15,1
471391,595223,12000,12000,11900, 36 months,8.94%,381.26,A,A5,7 years,MORTGAGE,294000,Not Verified,Dec-09,0,other,CA,0.5,0,Aug-93,0,,11,0,5306,2.80%,21,12344.81177,12241.94,12000,344.81,0,0,0,May-10,11204.3,May-10,0
1045339,1275958,3200,3200,3200, 36 months,7.90%,100.13,A,A4,,MORTGAGE,48000,Not Verified,Dec-11,1,debt_consolidation,GA,27.15,0,Apr-91,0,,7,0,27919,74.80%,29,528.65,528.65,78.88,21.02,0,428.75,77.175,Jan-12,100.13,Jun-12,0
622624,797959,5000,5000,4950, 36 months,10.36%,162.19,B,B5,3 years,RENT,35000,Source Verified,Dec-10,0,other,NJ,0.51,0,Feb-99,2,79,2,0,165,0.80%,8,5838.891398,5780.5,5000,838.89,0,0,0,Dec-13,168.86,Jan-16,0
874774,1089205,20950,20950,20769.83466, 60 months,20.99%,566.66,F,F3,1 year,MORTGAGE,46800,Verified,Sep-11,0,debt_consolidation,AR,19.92,0,Dec-03,1,,12,0,13690,97.10%,17,31809.90992,31366.25,20950,10859.91,0,0,0,Jan-15,3785.87,Jan-15,0
843621,1054428,5000,5000,5000, 36 months,11.49%,164.86,B,B4,6 years,MORTGAGE,75000,Not Verified,Aug-11,0,debt_consolidation,NY,5.02,0,Dec-05,1,,11,0,8837,41.50%,18,5654.868195,5654.87,5000,654.87,0,0,0,Jan-13,3026.55,Jan-14,0
637027,816029,12000,12000,12000, 36 months,6.91%,370.04,A,A5,< 1 year,RENT,30000,Source Verified,Dec-10,0,debt_consolidation,NV,16.4,0,Apr-04,0,24,6,0,3278,17.70%,10,13292.01636,13292.02,12000,1292.02,0,0,0,Dec-13,206.73,Dec-13,0
501603,644749,20000,20000,19620.54702, 36 months,10.99%,654.71,B,B4,2 years,RENT,54000,Verified,Apr-10,0,debt_consolidation,PA,17.38,0,Mar-88,0,,14,0,30735,72%,32,23405.826,22946.31,20000,3405.83,0,0,0,Sep-12,5131.36,May-16,0
488269,622566,6000,6000,5975, 36 months,10.25%,194.31,B,B2,3 years,RENT,50000,Not Verified,Feb-10,0,other,NY,20.66,0,Nov-04,2,,9,0,19882,51.20%,24,6243.938594,6217.92,6000,243.94,0,0,0,Aug-10,5470.59,May-16,0
603304,774119,9600,9600,9358.736974, 60 months,6.54%,188.02,A,A4,5 years,MORTGAGE,59004,Not Verified,Oct-10,0,home_improvement,PA,7.59,0,Jun-99,2,,9,0,510,1.80%,12,11074.02778,10750.51,9600,1474.03,0,0,0,Mar-14,3757.82,Jan-15,0
759491,959738,15000,15000,15000, 60 months,14.79%,355.2,C,C4,3 years,RENT,49992,Not Verified,May-11,0,debt_consolidation,NY,22.28,0,May-02,1,,14,0,13482,56.50%,28,19406.71577,19406.72,15000,4406.72,0,0,0,Nov-13,9471.21,Feb-16,0
822325,1030753,6000,6000,6000, 36 months,5.99%,182.51,A,A2,10+ years,MORTGAGE,27012,Not Verified,Jul-11,1,debt_consolidation,WA,8.62,0,May-96,0,,7,0,7030,22%,14,4526.17,4526.17,3594.04,565.66,0,366.47,65.9646,Dec-13,75.77,Dec-13,0
871489,1085559,15000,15000,15000, 36 months,6.03%,456.54,A,A1,1 year,MORTGAGE,62000,Source Verified,Oct-11,0,other,FL,2.63,0,Jul-98,0,,5,0,7238,27.70%,22,16014.46323,16014.46,15000,1014.46,0,0,0,Apr-13,8712.47,Oct-13,0
458142,569989,6000,6000,6000, 36 months,13.57%,203.82,C,C3,< 1 year,RENT,60000,Not Verified,Nov-09,0,major_purchase,PA,13.28,1,Mar-05,3,11,5,0,679,7.40%,6,7337.116798,7337.12,6000,1337.12,0,0,0,Dec-12,221.17,Sep-13,0
1059939,1291779,12000,12000,12000, 36 months,10.65%,390.88,B,B2,10+ years,RENT,70000,Not Verified,Dec-11,0,debt_consolidation,GA,26.06,0,Oct-94,3,,15,0,24893,60.10%,25,13676.41043,13676.41,12000,1676.41,0,0,0,Sep-13,5870.52,Dec-13,0
755677,955545,4600,4600,4600, 36 months,8.49%,145.19,A,A5,1 year,RENT,100000,Source Verified,May-11,0,other,SC,17.1,0,Mar-94,0,43,6,0,1579,12.50%,15,5226.813789,5226.81,4600,626.81,0,0,0,Jun-14,173.03,May-14,0
862256,1075286,4800,4800,4800, 36 months,11.99%,159.41,B,B5,6 years,OWN,55000,Source Verified,Aug-11,0,debt_consolidation,NY,16.52,0,May-01,3,53,16,0,3304,34.10%,23,5738.57748,5738.58,4800,938.58,0,0,0,Sep-14,160.4,Apr-16,0
